arraySize,quickSort,insertSort
1,6.3e-05,6.4e-05
2,0.000281,0.000171
3,0.000568,0.000276
4,0.000957,0.000401
5,0.001426,0.000552
6,0.00199,0.000786
7,0.002625,0.001094
8,0.00339,0.001522
9,0.004217,0.002025
10,0.005398,0.002758
11,0.007037,0.003874
12,0.009068,0.005332
13,0.011052,0.006844
14,0.012454,0.007969
15,0.013918,0.009262
16,0.015636,0.010847
17,0.017418,0.012546
18,0.019198,0.014291
19,0.021237,0.016386
20,0.023413,0.018677
21,0.026227,0.021758
22,0.029897,0.025835
23,0.033871,0.029889
24,0.036345,0.03299
25,0.038756,0.036215
26,0.041333,0.039738
27,0.044086,0.043605
28,0.047022,0.047834
29,0.049907,0.052131
30,0.052929,0.056739
31,0.056067,0.061702
32,0.059293,0.066899
33,0.06298,0.072859
34,0.066474,0.078752
35,0.070459,0.085659
36,0.074287,0.092399
37,0.078668,0.100217
38,0.083137,0.108617
39,0.087683,0.117178
40,0.091796,0.125247
41,0.096473,0.134911
42,0.100834,0.143826
43,0.105253,0.153117
44,0.109792,0.162734
45,0.1144,0.172812
46,0.119583,0.184211
47,0.125659,0.19766
48,0.133041,0.210593
49,0.138236,0.22281
50,0.143603,0.235598
51,0.148936,0.248615
52,0.154479,0.262346
53,0.160162,0.276533
54,0.165781,0.290896
55,0.171734,0.306426
56,0.178002,0.3252
57,0.184201,0.342147
58,0.190485,0.359287
59,0.196837,0.376776
60,0.203262,0.394538
61,0.209916,0.413642
62,0.218341,0.436096
63,0.225194,0.455996
64,0.232054,0.476058
65,0.239093,0.497002
66,0.246273,0.518565
67,0.253629,0.541517
68,0.261847,0.566478
69,0.269416,0.590321
70,0.276887,0.61421
71,0.284394,0.638832
72,0.292688,0.666092
73,0.300476,0.692177
74,0.308679,0.719405
75,0.316823,0.746718
76,0.326052,0.778162
77,0.335208,0.809091
78,0.343711,0.839191
79,0.352175,0.870266
80,0.362935,0.909951
81,0.372895,0.949189
82,0.382722,0.985147
83,0.39186,1.02068
84,0.402098,1.0585
85,0.411629,1.09399
86,0.421075,1.13143
87,0.431687,1.17171
88,0.441343,1.21165
89,0.451895,1.2517
90,0.461945,1.2943
91,0.472297,1.3368
92,0.483188,1.37825
93,0.493697,1.4209
94,0.504049,1.46436
95,0.514383,1.50869
96,0.524677,1.55329
97,0.535037,1.59859
98,0.546615,1.64852
99,0.557519,1.69633
